dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,caseid
10-24,35.008999999612605,alive,none,none,1,m,21,1997,1994.0,unavail,driver,0,41:158:1
10-24,297.433999996632,alive,none,none,1,m,19,2002,1986.0,unavail,driver,0,43:239:2
10-24,40.4319999995641,alive,none,belted,1,f,17,1997,1993.0,unavail,pass,0,74:80:2
10-24,83.55099999997759,alive,airbag,belted,0,f,54,1998,1995.0,nodeploy,driver,0,2:49:2
10-24,510.31199999898695,alive,airbag,belted,1,f,36,2001,1996.0,nodeploy,driver,0,75:38:2
55+,89.9199999999255,dead,none,none,1,m,20,1997,1990.0,unavail,pass,0,13:134:1
10-24,88.90399999916549,alive,airbag,none,0,f,46,2002,1994.0,nodeploy,pass,0,45:228:1
10-24,435.343999996781,alive,none,none,0,m,19,2002,1978.0,unavail,pass,0,75:57:1
10-24,28.553999999770898,alive,none,belted,1,f,34,1998,1977.0,unavail,pass,0,79:144:2
25-39,17.3149999999441,alive,none,belted,0,f,16,1997,1992.0,unavail,driver,0,74:146:1
10-24,21.934999999823,alive,none,belted,1,m,55,1997,1988.0,unavail,driver,0,72:100:1
40-54,41.2299999999814,alive,airbag,none,0,m,16,2001,1996.0,deploy,pass,1,11:66:1
25-39,93.06099999975409,alive,airbag,belted,1,f,57,1999,1997.0,deploy,pass,1,2:113:2
40-54,17.4919999998529,dead,airbag,none,1,m,47,1998,1997.0,deploy,driver,1,6:137:1
25-39,0.0,alive,airbag,belted,1,m,25,1999,1998.0,deploy,driver,1,48:802:2
25-39,197.599999999627,alive,none,belted,1,m,38,2001,1996.0,unavail,driver,0,11:169:1
40-54,94.53799999970941,alive,none,belted,1,m,16,1997,1992.0,unavail,driver,0,8:157:1
10-24,51.11699999962,alive,none,none,1,m,24,2002,1989.0,unavail,driver,0,12:121:1
10-24,637.538999997079,alive,none,none,1,f,18,2001,1985.0,unavail,driver,0,49:6:1
25-39,79.4329999992624,alive,none,belted,0,m,22,1997,1989.0,unavail,driver,0,43:49:1
1-9km/h,641.1619999930259,alive,airbag,belted,1,m,54,1998,1992.0,nodeploy,driver,0,43:290:2
25-39,326.345999997109,alive,airbag,belted,0,m,44,2000,1993.0,nodeploy,driver,0,11:30:1
10-24,711.281999997795,alive,airbag,belted,1,m,44,2002,2000.0,nodeploy,driver,0,13:16:2
10-24,830.521999999881,alive,none,belted,1,f,39,1998,1991.0,unavail,driver,0,11:162:1
10-24,3.91199999998207,alive,airbag,belted,1,m,26,2000,1992.0,deploy,driver,1,72:129:1
40-54,45.8249999997206,alive,none,belted,1,f,21,1997,1993.0,unavail,driver,0,45:206:2
40-54,78.7689999993891,alive,airbag,belted,1,m,37,1998,1996.0,deploy,driver,1,49:188:1
55+,19.550999999977602,alive,none,none,1,f,17,2000,1995.0,unavail,pass,0,49:259:1
55+,27.0779999999795,alive,none,none,1,m,20,1997,1981.0,unavail,driver,0,2:99:1
10-24,11.263999999966499,alive,airbag,belted,1,f,33,2000,1997.0,deploy,driver,1,49:68:1
25-39,139.537999998778,alive,airbag,belted,1,f,24,2000,1999.0,deploy,driver,1,49:252:2
25-39,100.21299999952299,alive,airbag,belted,0,m,31,1997,1996.0,nodeploy,driver,0,2:123:1
25-39,71.79699999932201,alive,none,belted,0,m,29,2000,1976.0,unavail,driver,0,12:135:2
10-24,216.382999999449,alive,airbag,belted,0,m,51,2002,1999.0,deploy,driver,1,43:90:2
10-24,128.177999999374,alive,airbag,belted,1,m,68,1997,1994.0,deploy,driver,1,4:20:2
40-54,40.1769999996759,alive,none,none,1,m,62,1997,1978.0,unavail,driver,0,41:30:2
40-54,12.1049999999814,alive,airbag,belted,1,f,22,1997,1996.0,deploy,driver,1,49:160:2
10-24,730.3319999948139,alive,airbag,none,1,m,27,2001,2000.0,nodeploy,driver,0,41:66:1
10-24,59.4239999996498,alive,airbag,belted,1,f,40,2000,1995.0,deploy,driver,1,43:176:1
25-39,49.4149999995716,dead,none,belted,0,m,37,2000,1987.0,unavail,driver,0,45:190:1
10-24,525.167999997735,alive,none,belted,1,f,20,1997,1994.0,unavail,pass,0,41:134:1
25-39,129.756999999285,alive,airbag,belted,1,f,31,2001,2001.0,deploy,driver,1,5:70:1
10-24,355.689999997616,alive,airbag,none,1,m,19,2002,1993.0,deploy,driver,1,48:33:1
40-54,31.496999999973898,alive,none,none,0,f,16,1999,1985.0,unavail,pass,0,12:157:1
10-24,250.22099999897202,alive,none,belted,1,f,75,2002,1989.0,unavail,pass,0,73:135:1
10-24,1266.20299999416,alive,none,none,1,m,23,1998,1986.0,unavail,driver,0,8:105:1
10-24,9.78499999991618,alive,none,none,0,m,18,2000,1987.0,unavail,pass,0,49:267:1
10-24,0.0,alive,airbag,belted,1,m,84,1999,1999.0,deploy,driver,1,4:805:2
25-39,2107.6629999876,alive,airbag,belted,0,f,20,2001,2000.0,deploy,driver,1,11:150:1
25-39,41.5949999997392,alive,airbag,none,1,m,38,2002,2001.0,deploy,driver,1,9:157:1
10-24,81.5429999995977,alive,airbag,none,1,f,16,2002,1995.0,deploy,pass,1,78:65:2
55+,21.414999999804397,alive,airbag,none,0,f,35,2002,2000.0,deploy,driver,1,12:18:1
25-39,54.30299999983979,alive,none,belted,0,f,75,2001,1988.0,unavail,driver,0,45:20:2
10-24,59.8489999999292,alive,none,belted,1,m,52,2000,1994.0,unavail,pass,0,41:113:2
25-39,16.1189999999478,alive,none,none,1,m,70,2000,1986.0,unavail,driver,0,74:21:1
25-39,84.1569999996573,alive,airbag,none,1,m,39,1999,1993.0,deploy,driver,1,13:127:1
40-54,86.22099999990309,alive,none,belted,0,f,16,2000,1990.0,unavail,driver,0,13:169:1
25-39,22.692999999970198,alive,airbag,none,0,f,68,2000,1999.0,nodeploy,driver,0,41:70:1
25-39,51.136999999638604,alive,none,belted,0,m,80,1997,1992.0,unavail,driver,0,43:15:2
10-24,714.1899999976159,alive,airbag,belted,1,f,50,2000,1995.0,deploy,driver,1,81:131:1
10-24,18.808999999892002,alive,none,belted,0,m,28,2000,1994.0,unavail,driver,0,41:108:1
25-39,53.1719999997877,alive,airbag,none,1,f,17,2002,1993.0,deploy,driver,1,75:55:2
10-24,98.0859999991953,alive,airbag,belted,1,f,69,1998,1994.0,deploy,driver,1,9:151:2
40-54,970.4749999940401,alive,none,none,1,m,71,1997,1974.0,unavail,driver,0,45:117:1
10-24,49.7779999999329,alive,none,none,0,f,23,1998,1988.0,unavail,driver,0,45:147:1
25-39,715.734999999404,alive,none,belted,1,f,50,1997,1992.0,unavail,driver,0,12:195:1
25-39,46.64099999982861,alive,none,belted,0,f,16,1998,1987.0,unavail,pass,0,75:199:1
25-39,25.707999999867802,alive,none,none,1,m,62,2001,1992.0,unavail,driver,0,73:101:1
10-24,51.1639999998733,alive,airbag,belted,1,f,46,2000,1998.0,nodeploy,driver,0,11:154:2
25-39,62.276999999769004,alive,airbag,belted,1,m,50,2000,1995.0,deploy,driver,1,11:33:1
10-24,653.255999997258,alive,airbag,belted,1,f,41,1997,1996.0,deploy,pass,1,49:66:1
40-54,396.08099999651296,alive,airbag,belted,0,f,17,1999,1998.0,deploy,driver,1,43:51:1
25-39,29.8409999997821,dead,none,none,0,m,28,1998,1984.0,unavail,driver,0,9:40:1
40-54,34.7609999999404,alive,none,none,1,f,32,2001,1971.0,unavail,driver,0,81:106:1
40-54,1771.81899999082,alive,airbag,belted,0,m,25,2000,2000.0,deploy,driver,1,9:85:2
10-24,547.316999994218,alive,airbag,belted,0,f,27,1997,1996.0,deploy,driver,1,45:157:2
10-24,674.4569999948139,alive,airbag,belted,1,f,24,2000,1997.0,deploy,pass,1,43:150:2
10-24,50.61699999962,alive,airbag,belted,1,f,38,1997,1994.0,deploy,driver,1,75:42:1
25-39,194.17599999904598,alive,none,none,1,f,49,1999,1993.0,unavail,driver,0,48:98:2
40-54,50.311999999918,alive,none,belted,1,f,19,1997,1989.0,unavail,pass,0,78:29:2
10-24,81.6059999996796,alive,airbag,belted,0,m,23,1997,1994.0,deploy,driver,1,9:12:2
10-24,93.02999999932942,alive,airbag,belted,0,f,43,1998,1996.0,nodeploy,driver,0,2:13:1
55+,56.010999999940395,alive,airbag,none,0,m,22,2000,1998.0,nodeploy,driver,0,45:95:1
10-24,739.1839999929069,alive,none,belted,1,m,16,2002,1989.0,unavail,driver,0,48:83:1
10-24,29.815999999875196,alive,airbag,belted,1,m,19,1998,1997.0,deploy,driver,1,8:48:1
40-54,9.78499999991618,alive,none,none,1,m,29,2000,1986.0,unavail,pass,0,49:196:1
10-24,37.454999999608795,alive,none,none,0,f,19,1999,1987.0,unavail,pass,0,12:198:2
55+,14.432999999960899,alive,airbag,none,0,m,29,1998,1993.0,deploy,pass,1,6:16:1
10-24,195.350999999791,alive,airbag,belted,0,f,50,2000,1999.0,nodeploy,driver,0,13:217:1
10-24,564.542999997735,alive,none,belted,1,m,17,2001,2000.0,unavail,pass,0,48:125:2
55+,649.394999995828,alive,airbag,belted,1,m,22,2002,2001.0,deploy,driver,1,41:153:1
25-39,118.64799999911301,alive,none,belted,1,f,28,1998,1989.0,unavail,driver,0,79:218:2
25-39,205.632999999449,alive,none,none,1,f,88,2000,1986.0,unavail,driver,0,13:61:1
40-54,68.7839999999851,alive,none,none,1,m,33,1999,1994.0,unavail,driver,0,45:201:1
10-24,82.7959999991581,alive,airbag,none,1,f,66,2002,1998.0,deploy,driver,1,6:140:1
25-39,167.48399999923998,alive,none,belted,0,m,19,2000,1992.0,unavail,driver,0,12:121:1
10-24,145.91099999845,alive,none,belted,1,f,79,1998,1992.0,unavail,driver,0,11:87:1
1-9km/h,40.0699999998324,alive,airbag,belted,0,m,39,1998,1996.0,nodeploy,driver,0,75:222:1
40-54,56.59999999962751,dead,airbag,belted,0,f,30,1999,1997.0,deploy,driver,1,75:143:1
55+,49.405999999959,dead,airbag,none,1,f,80,1999,1994.0,deploy,driver,1,45:220:1
10-24,1468.6779999882,alive,airbag,none,0,f,36,2002,1999.0,nodeploy,driver,0,48:40:1
10-24,200.491999998689,alive,none,belted,0,f,18,2000,1990.0,unavail,driver,0,13:10:1
25-39,552.582999996841,alive,airbag,belted,1,f,47,2001,1994.0,deploy,driver,1,12:141:1
40-54,44.6689999997616,alive,none,belted,1,f,34,1997,1986.0,unavail,driver,0,75:134:2
1-9km/h,75.80099999997759,alive,none,none,1,m,27,2002,1991.0,unavail,pass,0,73:187:2
10-24,25.3939999998547,alive,airbag,belted,1,f,26,2002,1993.0,deploy,driver,1,74:30:2
25-39,77.96199999935929,alive,airbag,belted,1,f,71,1998,1997.0,deploy,pass,1,78:50:2
25-39,1535.6259999871302,alive,airbag,belted,1,f,30,2000,1995.0,deploy,driver,1,41:27:1
1-9km/h,4754.407999992371,alive,airbag,belted,0,f,44,2002,2002.0,nodeploy,driver,0,75:93:2
25-39,87.05199999921021,alive,none,none,1,m,45,1999,1994.0,unavail,driver,0,45:187:2
25-39,431.500999998301,alive,airbag,belted,1,f,50,1999,1990.0,deploy,driver,1,48:13:1
55+,79.7589999996126,alive,airbag,belted,1,f,16,2002,1994.0,deploy,driver,1,13:97:1
55+,49.0959999999031,alive,airbag,none,0,m,20,2000,1996.0,deploy,driver,1,81:136:1
40-54,64.0219999998808,alive,airbag,belted,1,f,27,2000,1998.0,deploy,driver,1,12:157:2
10-24,314.60699999705,alive,airbag,belted,0,m,62,1998,1997.0,nodeploy,driver,0,73:55:1
25-39,67.761999999173,alive,airbag,belted,1,m,68,2002,1993.0,deploy,driver,1,81:110:3
55+,39.1939999996684,dead,none,none,0,f,48,2002,1987.0,unavail,driver,0,2:50:1
55+,22.584999999962697,alive,none,none,0,m,19,2001,1992.0,unavail,pass,0,81:45:1
55+,38.4759999997914,alive,airbag,belted,1,f,24,2000,1993.0,deploy,driver,1,43:67:2
25-39,86.22099999990309,alive,airbag,none,1,f,55,2000,1994.0,deploy,driver,1,13:198:2
10-24,1015.04599999636,alive,airbag,belted,0,f,39,1999,1997.0,nodeploy,driver,0,49:177:1
40-54,101.912999999709,alive,none,none,1,f,21,2001,1987.0,unavail,pass,0,75:42:1
10-24,0.0,alive,airbag,belted,1,f,17,2002,2002.0,deploy,driver,1,8:501:1
25-39,12.3829999999143,alive,none,none,1,f,55,1997,1986.0,unavail,pass,0,4:134:1
40-54,84.19099999964241,alive,none,none,1,f,39,2000,1989.0,unavail,pass,0,45:202:2
40-54,18.3309999997728,alive,none,belted,1,f,23,1999,1987.0,unavail,pass,0,74:102:2
25-39,18.1639999998733,alive,none,belted,1,m,52,1999,1994.0,unavail,driver,0,41:193:3
10-24,190.017999999225,alive,airbag,belted,1,f,21,2002,1994.0,deploy,driver,1,43:103:1
10-24,74.9739999994636,alive,airbag,belted,0,m,19,2002,2001.0,nodeploy,driver,0,13:78:2
25-39,1.0,alive,airbag,belted,1,m,16,2002,1996.0,deploy,driver,1,47:35:2
10-24,47.996999999973895,alive,airbag,belted,0,f,31,1998,1996.0,nodeploy,driver,0,4:84:2
25-39,64.8979999991134,alive,airbag,belted,1,m,35,2001,2001.0,deploy,driver,1,73:128:2
25-39,74.99899999983609,alive,none,none,1,f,32,1998,1986.0,unavail,driver,0,45:82:1
10-24,22.185999999987,alive,airbag,belted,1,m,55,1998,1996.0,deploy,driver,1,79:152:1
25-39,207.44399999827098,alive,airbag,belted,0,m,73,1999,1993.0,nodeploy,driver,0,48:208:2
10-24,7.4609999999520396,alive,none,belted,0,f,21,1997,1994.0,unavail,driver,0,79:17:2
10-24,411.950999997556,alive,airbag,belted,1,m,36,2001,1995.0,deploy,driver,1,43:98:2
10-24,126.849999999627,alive,airbag,none,1,m,35,1999,1998.0,nodeploy,driver,0,8:102:2
10-24,1491.8479999899898,alive,airbag,belted,1,m,45,2002,2002.0,nodeploy,driver,0,76:89:2
25-39,21.262999999802602,alive,none,belted,1,m,39,1999,1980.0,unavail,driver,0,41:49:1
25-39,17.4679999998771,alive,airbag,belted,0,m,69,2001,1992.0,nodeploy,driver,0,49:100:1
25-39,82.1949999993667,alive,none,none,0,m,39,2001,1989.0,unavail,driver,0,73:3:2
40-54,34.61699999962,alive,airbag,none,0,m,28,1999,1994.0,deploy,driver,1,6:85:1
55+,21.1399999998976,alive,none,none,1,m,37,2002,1989.0,unavail,driver,0,73:90:2
10-24,37.167999999597704,alive,airbag,belted,0,f,21,1999,1999.0,nodeploy,driver,0,75:168:1
10-24,2089.7409999966603,alive,none,none,0,m,32,1998,1985.0,unavail,driver,0,49:209:1
10-24,22.185999999987,alive,airbag,belted,1,f,44,1998,1996.0,deploy,driver,1,79:152:2
25-39,174.207999998704,alive,airbag,belted,1,f,60,2001,1999.0,nodeploy,driver,0,74:104:2
10-24,1279.58499999344,alive,airbag,none,0,m,36,2000,1995.0,nodeploy,driver,0,49:153:2
25-39,18.982999999774602,alive,airbag,belted,0,m,22,2001,1999.0,deploy,pass,1,74:149:2
10-24,306.714999999851,alive,none,none,1,m,33,2000,1978.0,unavail,driver,0,48:108:1
40-54,33.620999999809996,alive,airbag,belted,0,m,42,1997,1992.0,deploy,driver,1,12:26:2
10-24,49.181999999564106,alive,none,belted,1,m,34,2000,1979.0,unavail,driver,0,79:100:1
10-24,5.19399999995949,alive,none,belted,1,f,77,1997,1969.0,unavail,driver,0,82:129:1
10-24,36.6549999997951,alive,airbag,none,0,m,49,2002,1998.0,deploy,driver,1,11:64:2
25-39,68.7809999994934,alive,none,belted,0,f,19,1997,1989.0,unavail,driver,0,43:72:1
10-24,19.833999999798802,alive,airbag,belted,1,m,76,1997,1996.0,deploy,driver,1,4:75:1
25-39,557.351999998093,alive,airbag,none,1,f,20,2000,1997.0,deploy,driver,1,12:94:1
10-24,976.22199999541,alive,none,belted,0,f,16,2001,1990.0,unavail,pass,0,12:115:1
25-39,284.625999998301,alive,none,belted,1,f,18,1998,1988.0,unavail,pass,0,48:68:2
55+,50.01499999966471,alive,airbag,none,1,m,25,1999,1997.0,deploy,driver,1,45:191:1
10-24,25029.1999998093,alive,none,belted,1,m,37,2001,1994.0,unavail,pass,0,48:117:1
25-39,45.2479999996722,dead,airbag,none,1,m,31,2001,1998.0,deploy,pass,1,45:149:1
25-39,15.534999999916199,alive,airbag,none,1,m,42,1998,1995.0,deploy,pass,1,4:44:1
10-24,1329.01699998975,alive,none,belted,0,f,41,2002,1993.0,unavail,driver,0,73:165:1
25-39,1195.3629999905802,alive,none,belted,1,m,19,2000,1987.0,unavail,pass,0,41:119:1
25-39,10.168999999994401,alive,airbag,belted,0,m,22,2001,1998.0,nodeploy,driver,0,79:115:1
10-24,273.259999997914,alive,airbag,belted,0,m,25,1998,1998.0,deploy,pass,1,13:225:1
10-24,386.0,alive,airbag,belted,1,f,24,2001,1996.0,deploy,pass,1,8:153:1
25-39,288.575999997556,alive,airbag,none,0,f,32,1998,1996.0,deploy,driver,1,48:32:2
25-39,10.7609999999404,alive,airbag,belted,0,m,23,2001,2000.0,nodeploy,driver,0,49:25:2
10-24,453.075999997556,alive,airbag,belted,1,m,24,1999,1997.0,nodeploy,driver,0,48:82:2
55+,3.01499999998487,alive,none,belted,0,m,16,1998,1988.0,unavail,driver,0,79:28:1
10-24,576.0649999976159,alive,airbag,belted,1,f,28,2002,1999.0,deploy,driver,1,48:204:2
10-24,481.605999998748,alive,airbag,belted,1,m,31,2002,1999.0,deploy,driver,1,43:209:2
40-54,29.942999999970198,alive,airbag,belted,1,m,52,2000,1994.0,deploy,driver,1,49:14:1
10-24,55.14399999985471,alive,airbag,belted,0,f,33,2001,1999.0,deploy,pass,1,45:194:2
25-39,1817.25399999321,alive,airbag,belted,1,f,18,2002,1996.0,deploy,driver,1,48:191:1
25-39,433.983999997377,alive,none,none,1,f,25,2000,1988.0,unavail,driver,0,12:150:2
55+,41.8549999999814,alive,none,belted,1,f,19,2000,1988.0,unavail,driver,0,2:140:1
25-39,14.004999999888199,alive,airbag,belted,1,f,39,1998,1997.0,deploy,driver,1,74:132:1
10-24,122.893999999389,alive,none,none,1,m,22,2000,1993.0,unavail,driver,0,4:126:2
10-24,1670.7969999909399,alive,airbag,none,1,f,21,2002,2002.0,nodeploy,driver,0,49:78:1
25-39,37.454999999608795,alive,airbag,belted,1,m,38,1999,1997.0,deploy,pass,1,12:182:1
10-24,130.979999998584,alive,airbag,belted,0,m,21,2001,2001.0,nodeploy,driver,0,78:135:1
10-24,319.596999999136,alive,airbag,belted,1,m,76,1999,1994.0,nodeploy,driver,0,79:67:1
55+,11.263999999966499,alive,airbag,belted,0,f,26,2000,1993.0,deploy,driver,1,49:218:1
25-39,7.52799999999115,alive,airbag,belted,1,f,81,2002,1999.0,deploy,driver,1,74:83:1
10-24,238.293999999762,alive,airbag,none,1,f,23,1999,1994.0,deploy,driver,1,73:5:2
10-24,356.303999997675,alive,none,belted,1,f,36,2000,1992.0,unavail,driver,0,73:152:1
10-24,725.39999999851,alive,airbag,belted,0,f,42,1998,1995.0,nodeploy,driver,0,2:59:1
10-24,45.2549999998882,alive,airbag,none,1,f,78,1997,1992.0,deploy,driver,1,45:42:1
10-24,1414.68099999428,alive,none,belted,1,f,40,2000,1988.0,unavail,driver,0,8:102:1
10-24,904.0929999947549,alive,none,belted,1,f,56,2000,1992.0,unavail,driver,0,73:116:1
40-54,3.9049999999988403,alive,none,belted,1,m,76,1997,1988.0,unavail,driver,0,82:37:2
10-24,138.306999998167,alive,airbag,belted,1,f,33,2001,1999.0,deploy,driver,1,9:132:1
10-24,83.80699999909851,alive,airbag,belted,0,f,79,2000,1996.0,nodeploy,pass,0,9:202:1
10-24,69.4139999998733,alive,none,belted,0,f,29,1999,1992.0,unavail,driver,0,43:155:2
10-24,1246.49099999666,alive,airbag,belted,1,f,27,2001,1997.0,deploy,driver,1,4:55:1
25-39,17.703999999910604,alive,none,none,0,f,79,1999,1987.0,unavail,driver,0,6:46:2
10-24,147.40599999949302,alive,airbag,belted,1,f,56,1999,1998.0,nodeploy,driver,0,13:48:2
25-39,42.40799999982121,alive,airbag,belted,0,f,47,2000,1995.0,nodeploy,driver,0,9:82:1
10-24,30.289999999804397,alive,none,belted,1,f,82,1997,1990.0,unavail,driver,0,12:133:1
25-39,0.0,alive,none,belted,1,m,41,1998,1999.0,unavail,pass,0,43:807:1
40-54,33.1009999997914,alive,airbag,none,1,m,22,2000,1995.0,deploy,driver,1,5:103:1
10-24,233.41099999845002,alive,airbag,belted,1,m,27,2002,1999.0,deploy,driver,1,8:51:1
40-54,99.921999999322,alive,none,belted,1,m,18,2001,1991.0,unavail,driver,0,9:111:1
10-24,1093.02499999106,alive,airbag,belted,0,m,32,1999,1998.0,nodeploy,pass,0,9:53:1
25-39,22.112999999895703,alive,airbag,belted,0,f,24,2002,1997.0,deploy,pass,1,82:47:1
25-39,33.9149999995716,dead,none,belted,1,f,84,2001,1987.0,unavail,driver,0,12:165:1
25-39,33.6069999998435,alive,airbag,belted,1,m,56,2000,2000.0,nodeploy,driver,0,41:100:1
25-39,89.9199999999255,dead,none,none,1,m,17,1997,1989.0,unavail,driver,0,13:188:1
10-24,40.0699999998324,alive,none,belted,1,f,30,1998,1990.0,unavail,driver,0,75:222:2
25-39,266.444999996573,alive,none,belted,0,m,32,2002,1989.0,unavail,driver,0,41:98:1
55+,34.9499999997206,dead,none,belted,0,m,19,2000,1993.0,unavail,driver,0,12:214:1
10-24,55.612999999895706,alive,airbag,belted,1,m,68,1997,1991.0,deploy,driver,1,12:21:2
55+,32.4669999997132,dead,airbag,none,0,f,25,1998,1998.0,deploy,driver,1,12:241:1
25-39,145.360999999568,alive,airbag,belted,0,m,80,2001,1998.0,deploy,driver,1,49:110:1
10-24,1989.0899999886801,alive,none,none,1,m,17,2001,1988.0,unavail,driver,0,12:75:1
40-54,18.022999999811898,dead,none,none,1,m,40,1999,1988.0,unavail,driver,0,72:138:1
10-24,4.5899999999674,alive,airbag,belted,0,f,43,2002,2002.0,nodeploy,driver,0,42:80:2
10-24,2418.9559999704397,alive,airbag,belted,0,m,32,1997,1992.0,nodeploy,pass,0,9:66:1
10-24,20.2559999998193,alive,airbag,none,0,f,76,1998,1990.0,nodeploy,pass,0,5:95:1
10-24,38.5949999997392,alive,airbag,belted,1,m,27,1997,1996.0,deploy,driver,1,43:226:2
10-24,164.09399999864402,alive,none,belted,1,f,32,1997,1984.0,unavail,driver,0,81:20:2
55+,10.086999999941302,dead,none,none,1,m,29,1997,1978.0,unavail,driver,0,49:137:1
10-24,624.242999993265,alive,airbag,belted,1,f,34,1997,1997.0,deploy,driver,1,49:13:3
10-24,152.03599999845,alive,airbag,none,0,m,20,2002,1995.0,nodeploy,driver,0,50:40:1
10-24,262.302999999374,alive,airbag,belted,1,m,19,1998,1990.0,deploy,driver,1,11:91:1
40-54,16.2599999997765,alive,airbag,none,0,f,68,2002,1994.0,deploy,driver,1,41:113:1
25-39,43.2199999997392,alive,none,belted,1,m,19,1999,1985.0,unavail,pass,0,12:83:2
10-24,19.9679999998771,alive,airbag,belted,1,m,26,1997,1992.0,deploy,driver,1,82:130:1
10-24,53.97499999962751,alive,airbag,none,0,f,46,1997,1996.0,deploy,pass,1,75:35:1
10-24,60.4409999996424,alive,none,belted,1,m,16,1998,1991.0,unavail,driver,0,12:205:1
10-24,1064.2599999904598,alive,airbag,belted,1,m,17,2001,1993.0,nodeploy,pass,0,4:91:2
10-24,21.127999999793197,dead,airbag,none,1,m,22,2002,1999.0,deploy,pass,1,9:101:2
40-54,16.738999999826802,alive,airbag,none,1,m,21,2002,2001.0,deploy,pass,1,72:93:1
10-24,267.79299999773497,alive,none,belted,1,f,16,2000,1988.0,unavail,driver,0,8:56:1
25-39,1653.68699999154,alive,none,belted,0,m,21,2002,1989.0,unavail,driver,0,45:11:1
10-24,47.502999999560394,alive,airbag,belted,1,f,46,1998,1998.0,nodeploy,pass,0,43:148:2
10-24,184.29599999822702,alive,airbag,none,0,f,20,2002,1997.0,deploy,driver,1,12:51:2
10-24,505.569999996573,alive,airbag,none,1,m,24,2000,1999.0,deploy,pass,1,12:62:1
25-39,122.81499999947799,alive,airbag,belted,1,f,16,2001,1999.0,deploy,pass,1,13:173:2
10-24,144.337999999523,alive,airbag,belted,0,m,23,1999,1996.0,nodeploy,pass,0,13:35:1
40-54,49.482999999541796,alive,airbag,belted,0,m,18,2000,1996.0,nodeploy,pass,0,43:215:1
55+,33.3909999998286,alive,none,none,1,f,35,2001,1985.0,unavail,driver,0,12:17:1
40-54,14.674999999930199,alive,airbag,belted,0,f,48,1998,1992.0,deploy,driver,1,49:6:2
40-54,23.232999999774602,alive,none,none,1,m,21,1999,1984.0,unavail,driver,0,12:63:1
10-24,182.075999999419,alive,airbag,belted,1,m,18,2000,1999.0,deploy,driver,1,12:170:1
25-39,415.33099999651296,alive,airbag,belted,0,f,17,2000,1995.0,nodeploy,pass,0,8:196:1
10-24,13.196999999927401,alive,airbag,belted,1,m,51,2002,1995.0,deploy,driver,1,79:124:2
25-39,115.443999999203,alive,airbag,belted,0,f,27,2001,1996.0,nodeploy,driver,0,11:163:1
25-39,9.82899999991059,alive,none,none,1,m,55,2000,1991.0,unavail,driver,0,74:209:1
25-39,598.4819999933239,alive,airbag,belted,1,m,40,1999,1995.0,deploy,driver,1,9:14:2
10-24,27.6879999998491,alive,airbag,belted,0,f,26,2000,2000.0,nodeploy,driver,0,73:148:1
1-9km/h,182.08699999935902,alive,airbag,belted,0,f,21,2001,2000.0,nodeploy,driver,0,11:34:1
10-24,15.8609999999171,alive,none,belted,1,f,30,1998,1987.0,unavail,driver,0,74:123:2
25-39,83.5379999997094,alive,airbag,belted,0,f,35,2001,1999.0,deploy,driver,1,11:2:2
25-39,7.371999999973919,alive,none,none,1,m,39,1998,1984.0,unavail,driver,0,79:167:1
10-24,524.6849999949341,alive,none,belted,1,m,18,1998,1989.0,unavail,pass,0,43:184:1
25-39,48.7939999997616,alive,airbag,none,1,m,21,2002,1995.0,deploy,driver,1,78:120:1
40-54,73.5179999992251,alive,none,belted,1,f,40,1999,1989.0,unavail,driver,0,12:5:1
25-39,208.61899999901698,alive,airbag,belted,0,m,77,1999,1993.0,nodeploy,driver,0,72:26:2
10-24,1262.0669999867698,alive,none,belted,1,f,41,1999,1979.0,unavail,driver,0,48:195:1
10-24,376.06799999997,alive,none,belted,1,m,32,2001,1986.0,unavail,driver,0,43:192:1
25-39,39.3729999996722,alive,airbag,belted,1,f,43,2001,2000.0,deploy,driver,1,75:129:1
25-39,2506.49899998307,alive,none,belted,0,f,50,2001,1991.0,unavail,driver,0,75:8:1
10-24,139.114999998361,alive,none,belted,1,f,73,1999,1988.0,unavail,driver,0,4:8:2
10-24,46.09999999962751,alive,airbag,belted,1,f,58,2002,1999.0,nodeploy,driver,0,9:96:1
25-39,4408.76699995995,alive,none,belted,1,f,16,1999,1984.0,unavail,driver,0,5:54:1
10-24,241.147999998182,alive,airbag,belted,0,f,48,1997,1994.0,nodeploy,driver,0,11:76:2
25-39,110.54899999965001,alive,none,belted,0,m,37,2001,1994.0,unavail,driver,0,12:41:2
10-24,125.224999999627,alive,airbag,belted,1,f,41,2002,1993.0,deploy,driver,1,49:202:2
10-24,493.556999996305,alive,airbag,belted,1,f,63,2002,1999.0,nodeploy,driver,0,73:38:1
10-24,3128.5789999961894,alive,airbag,belted,1,f,41,2002,1996.0,deploy,driver,1,9:98:1
25-39,19.4379999998491,alive,none,none,0,m,20,1997,1987.0,unavail,driver,0,74:73:1
40-54,22.2779999999329,alive,none,none,1,m,16,1999,1991.0,unavail,pass,0,12:221:1
55+,91.42699999921021,alive,none,none,1,m,22,1999,1990.0,unavail,driver,0,13:71:1
10-24,65.1319999992847,alive,none,belted,0,m,41,1999,1987.0,unavail,driver,0,72:179:1
